t	x	v
3.67	-0.920884	1.70782
3.68	-0.902924	1.88253
3.69	-0.883234	2.05363
3.7	-0.861852	2.2208
3.71	-0.838819	2.38371
3.72	-0.814178	2.54206
3.73	-0.787978	2.69553
3.74	-0.760269	2.84385
3.75	-0.731102	2.98671
3.76	-0.700535	3.12385
3.77	-0.668626	3.25501
3.78	-0.635435	3.37993
3.79	-0.601028	3.49838
3.8	-0.565469	3.61012
3.81	-0.528826	3.71495
3.82	-0.49117	3.81266
3.83	-0.452573	3.90306
3.84	-0.413109	3.98599
3.85	-0.372854	4.06128
3.86	-0.331884	4.12879
3.87	-0.290278	4.18839
3.88	-0.248117	4.23997
3.89	-0.205479	4.28342
3.9	-0.162448	4.31867
3.91	-0.119106	4.34564
3.92	-0.0755356	4.36429
3.93	-0.0318204	4.37457
3.94	0.0119558	4.37648
3.95	0.0557091	4.37
3.96	0.0993558	4.35515
3.97	0.142812	4.33195
3.98	0.185995	4.30046
3.99	0.228821	4.26072
4	0.27121	4.21282
4.01	0.313078	4.15686
4.02	0.354347	4.09292
4.03	0.394937	4.02115
4.04	0.43477	3.94167
4.05	0.473771	3.85464
4.06	0.511863	3.76023
4.07	0.548976	3.65861
4.08	0.585036	3.54998
4.09	0.619976	3.43455
4.1	0.653728	3.31254
4.11	0.686227	3.18418
4.12	0.717412	3.04973
4.13	0.747222	2.90943
4.14	0.775601	2.76355
4.15	0.802494	2.61238
4.16	0.827849	2.45621
4.17	0.851619	2.29533
4.18	0.873757	2.13005
4.19	0.894221	1.96069
4.2	0.912971	1.78758
4.21	0.929973	1.61104
4.22	0.945193	1.43141
4.23	0.958602	1.24904
4.24	0.970175	1.06428
4.25	0.979889	0.87748
4.26	0.987725	0.688997
4.27	0.99367	0.499194
4.28	0.99771	0.308435
4.29	0.999839	0.117084
4.3	1.00005	-0.074491
4.31	0.99835	-0.265924
4.32	0.994735	-0.456847
4.33	0.989214	-0.646895
4.34	0.981798	-0.835704
4.35	0.972501	-1.02291
4.36	0.961341	-1.20816
4.37	0.948339	-1.39109
4.38	0.93352	-1.57136
4.39	0.916912	-1.74862
4.4	0.898548	-1.92253
4.41	0.878463	-2.09276
